flight_id,tanggal,latitude,longitude,heading,altitude,aircraft_code,registration,time,callsign,airline_icao
7063,10/3/2022,0.4616,101.4445,181,225,A320,9M-AGM,1664756621,AXM427,AXM
7064,10/3/2022,0.4586,101.4445,180,0,A320,9M-AGM,1664756627,AXM427,AXM
1072,9/27/2022,0.4661,101.4446,181,225,AT76,9M-LMG,1664254201,MXD310,BTK
1073,9/27/2022,0.4644,101.4446,182,0,AT76,9M-LMG,1664254205,MXD310,BTK
2082,9/28/2022,0.4666,101.4447,181,250,AT76,9M-LMG,1664340658,MXD310,BTK
2083,9/28/2022,0.4641,101.4446,182,0,AT76,9M-LMG,1664340663,MXD310,BTK
7484,10/3/2022,0.4505,101.4442,1,225,AT76,9M-LMK,1664773063,MXD310,BTK
7485,10/3/2022,0.4545,101.4443,2,0,AT76,9M-LMK,1664773071,MXD310,BTK
3591,9/29/2022,0.4666,101.4447,181,250,AT76,9M-LMU,1664426760,MXD310,BTK
3592,9/29/2022,0.4647,101.4446,182,0,AT76,9M-LMU,1664426764,MXD310,BTK
6389,10/1/2022,0.4529,101.4443,1,175,AT76,9M-LMU,1664603383,MXD310,BTK
6390,10/1/2022,0.4567,101.4444,1,0,AT76,9M-LMU,1664603390,MXD310,BTK
9051,10/4/2022,0.4689,101.4447,181,250,AT76,9M-LMU,1664859045,MXD310,BTK
9052,10/4/2022,0.4658,101.4446,180,0,AT76,9M-LMU,1664859051,MXD310,BTK
3432,9/29/2022,0.4536,101.4443,1,200,B738,PK-BGQ,1664415881,BTK6856,BTK
3433,9/29/2022,0.4554,101.4444,1,0,B738,PK-BGQ,1664415883,BTK6856,BTK
5313,9/30/2022,0.4498,101.4442,1,275,B738,PK-BGQ,1664525858,BTK6854,BTK
5314,9/30/2022,0.4526,101.4443,1,0,B738,PK-BGQ,1664525862,BTK6854,BTK
2010,9/28/2022,0.4662,101.4446,182,200,B738,PK-GFH,1664330621,GIA172,GIA
2011,9/28/2022,0.4628,101.4445,181,0,B738,PK-GFH,1664330626,GIA172,GIA
3510,9/29/2022,0.4512,101.4442,1,175,B738,PK-GFH,1664417392,GIA172,GIA
3511,9/29/2022,0.454,101.4443,2,0,B738,PK-GFH,1664417397,GIA172,GIA
6151,10/1/2022,0.4523,101.4443,1,125,B738,PK-GFH,1664589594,GIA172,GIA
6152,10/1/2022,0.4552,101.4443,2,0,B738,PK-GFH,1664589599,GIA172,GIA
7826,10/3/2022,0.4513,101.4443,1,325,AT76,PK-GJT,1664783666,CTV928,CTV
7827,10/3/2022,0.4534,101.4443,3,0,AT76,PK-GJT,1664783670,CTV928,CTV
1575,9/28/2022,0.4673,101.4447,181,225,A320,PK-GLK,1664324656,CTV936,CTV
1576,9/28/2022,0.4634,101.4446,182,0,A320,PK-GLK,1664324662,CTV936,CTV
2298,9/28/2022,0.4696,101.4447,181,325,A320,PK-GLK,1664344825,CTV783,CTV
2299,9/28/2022,0.4634,101.4446,182,0,A320,PK-GLK,1664344835,CTV783,CTV
